State,county,year,violent_crime,murder,rape,robbery,aggravated_assault,property_crime,burglary,larceny_theft,motor_vehicle_theft,arson,frm_30,points_30,frm_15,points_15,median_hh_income,median_hh_inc_moe,poverty_count,poverty_count_moe,poverty_rate,poverty_rate_moe,county_fips,price,Price_Difference
New Jersey,Atlantic,2012,0,0,0,0,0,0,0,0,0,0,3.6575,0.717307692,2.934423077,0.684615385,50881,1856,38245,4662,1.7,14.2,1,194958.58,
New Jersey,Atlantic,2013,0,0,0,0,0,0,0,0,0,0,3.975576923,0.732692308,3.100769231,0.7,51668,1949,46281,3953,1.5,17.1,1,191150.75,-3807.83
New Jersey,Atlantic,2014,0,0,0,0,0,0,0,0,0,0,4.168867925,0.59245283,3.286037736,0.571698113,54208,2501,40761,4675,1.7,15.1,1,194470,3319.25
New Jersey,Atlantic,2015,0,0,0,0,0,0,0,0,0,0,3.850576923,0.615384615,3.0875,0.576923077,53296,3026,37923,4231,1.6,14.1,1,186052.25,-8417.75
New Jersey,Atlantic,2016,0,0,0,0,0,0,0,0,0,0,3.654038462,0.530769231,2.930769231,0.492307692,55672,3183,37734,4585,1.7,14.2,1,175862,-10190.25
New Jersey,Atlantic,2017,1,0,0,0,1,0,0,0,0,0,3.989807692,0.498076923,3.2725,0.490384615,59309,3483,38092,4143,1.6,14.4,1,176391.25,529.25
New Jersey,Atlantic,2018,0,0,0,0,0,0,0,0,0,0,4.544615385,0.484615385,4.000192308,0.45,60826,1701,33167,4613,1.8,12.8,1,185926.08,9534.83
New Jersey,Atlantic,2019,0,0,0,0,0,0,0,0,0,0,3.935769231,0.521153846,3.391730769,0.475,62678,2822,29057,4251,1.6,11.3,1,196067.42,10141.34
New Jersey,Bergen,2012,7,0,1,0,6,122,5,112,5,1,3.6575,0.717307692,2.934423077,0.684615385,82001,2853,72647,7178,0.8,8,3,412730.67,
New Jersey,Bergen,2013,4,0,1,0,3,88,4,83,1,0,3.975576923,0.732692308,3.100769231,0.7,81615,1241,73719,7112,0.8,8.1,3,426550.33,13819.66
New Jersey,Bergen,2014,0,0,0,0,0,0,0,0,0,0,4.168867925,0.59245283,3.286037736,0.571698113,84309,2864,70557,7271,0.8,7.6,3,443285.33,16735
New Jersey,Bergen,2015,7,0,0,0,7,57,3,53,1,0,3.850576923,0.615384615,3.0875,0.576923077,88512,2875,65906,7290,0.8,7.1,3,452857.75,9572.42
New Jersey,Bergen,2016,8,0,0,0,8,56,3,51,2,2,3.654038462,0.530769231,2.930769231,0.492307692,93205,2652,63789,6215,0.7,6.9,3,464526.17,11668.42
New Jersey,Bergen,2017,7,0,4,0,3,51,1,48,2,0,3.989807692,0.498076923,3.2725,0.490384615,93805,2964,62037,7250,0.8,6.6,3,478115,13588.83
New Jersey,Bergen,2018,0,0,0,0,0,0,0,0,0,0,4.544615385,0.484615385,4.000192308,0.45,100181,1606,63403,7302,0.8,6.8,3,491586.42,13471.42
New Jersey,Bergen,2019,2,0,2,0,0,46,2,44,0,0,3.935769231,0.521153846,3.391730769,0.475,107971,3025,52980,7662,0.8,5.7,3,494018.42,2432
New Jersey,Burlington,2012,0,0,0,0,0,0,0,0,0,0,3.6575,0.717307692,2.934423077,0.684615385,74285,2311,28776,4006,0.9,6.6,5,215685.75,
New Jersey,Burlington,2013,0,0,0,0,0,0,0,0,0,0,3.975576923,0.732692308,3.100769231,0.7,76868,2228,27192,4269,1,6.2,5,217803.83,2118.08
New Jersey,Burlington,2014,0,0,0,0,0,0,0,0,0,0,4.168867925,0.59245283,3.286037736,0.571698113,80479,1801,31331,3849,0.9,7.2,5,219585.92,1782.09
New Jersey,Burlington,2015,0,0,0,0,0,0,0,0,0,0,3.850576923,0.615384615,3.0875,0.576923077,74844,2932,33675,4151,0.9,7.7,5,220449.92,864
New Jersey,Burlington,2016,0,0,0,0,0,0,0,0,0,0,3.654038462,0.530769231,2.930769231,0.492307692,80081,2327,27083,4146,1,6.2,5,220975.75,525.83
New Jersey,Burlington,2017,0,0,0,0,0,0,0,0,0,0,3.989807692,0.498076923,3.2725,0.490384615,86777,3080,28202,4029,0.9,6.5,5,224566.75,3591
New Jersey,Burlington,2018,0,0,0,0,0,0,0,0,0,0,4.544615385,0.484615385,4.000192308,0.45,84470,3358,26786,4820,1.1,6.2,5,230662.33,6095.58
New Jersey,Burlington,2019,0,0,0,0,0,0,0,0,0,0,3.935769231,0.521153846,3.391730769,0.475,88443,3233,24961,4374,1,5.7,5,238593.67,7931.34
New Jersey,Camden,2012,1,0,0,0,1,2,2,0,0,0,3.6575,0.717307692,2.934423077,0.684615385,58572,2330,63861,6125,1.2,12.6,7,165492,
New Jersey,Camden,2013,1950,57,55,732,1106,3260,857,1939,464,84,3.975576923,0.732692308,3.100769231,0.7,57641,2826,74058,5891,1.2,14.7,7,163183.58,-2308.42
New Jersey,Camden,2014,1550,33,51,531,935,2845,844,1680,321,84,4.168867925,0.59245283,3.286037736,0.571698113,61685,2252,65551,6497,1.3,13,7,165242.5,2058.92
New Jersey,Camden,2015,1524,32,75,483,934,2804,675,1791,338,87,3.850576923,0.615384615,3.0875,0.576923077,63589,3019,65805,7149,1.4,13.1,7,164507.33,-735.17
New Jersey,Camden,2016,1583,47,88,428,1020,2676,650,1522,504,94,3.654038462,0.530769231,2.930769231,0.492307692,65838,2127,60385,7206,1.4,12,7,165169,661.67
New Jersey,Camden,2017,2,0,0,1,1,21,0,19,2,0,3.989807692,0.498076923,3.2725,0.490384615,65817,2491,58696,7151,1.4,11.7,7,168415.83,3246.83
New Jersey,Camden,2018,6,0,0,0,6,37,0,35,2,0,4.544615385,0.484615385,4.000192308,0.45,67135,2636,64417,6210,1.2,12.9,7,175142.5,6726.67
New Jersey,Camden,2019,2,0,0,0,2,44,4,38,2,0,3.935769231,0.521153846,3.391730769,0.475,73168,2374,53641,7048,1.4,10.7,7,181980.75,6838.25
New Jersey,Cape May,2012,0,0,0,0,0,0,0,0,0,0,3.6575,0.717307692,2.934423077,0.684615385,55175,2358,10301,2028,2.2,10.9,9,346823.17,
New Jersey,Cape May,2013,0,0,0,0,0,0,0,0,0,0,3.975576923,0.732692308,3.100769231,0.7,56520,3185,10159,1916,2,10.8,9,346024.58,-798.59
New Jersey,Cape May,2014,2,0,0,0,2,1,0,1,0,0,4.168867925,0.59245283,3.286037736,0.571698113,55409,3123,12080,2043,2.2,13,9,349033.25,3008.67
New Jersey,Cape May,2015,5,0,0,0,5,0,0,0,0,0,3.850576923,0.615384615,3.0875,0.576923077,55632,3267,9684,2021,2.2,10.5,9,350412.33,1379.08
New Jersey,Cape May,2016,0,0,0,0,0,2,0,2,0,0,3.654038462,0.530769231,2.930769231,0.492307692,59181,3828,10964,1949,2.1,11.9,9,354809.5,4397.17
New Jersey,Cape May,2017,0,0,0,0,0,0,0,0,0,0,3.989807692,0.498076923,3.2725,0.490384615,64450,2988,9486,1742,1.9,10.4,9,359288.42,4478.92
New Jersey,Cape May,2018,1,0,0,0,1,1,0,1,0,0,4.544615385,0.484615385,4.000192308,0.45,62175,4882,9325,2012,2.2,10.3,9,377710.58,18422.16
New Jersey,Cape May,2019,0,0,0,0,0,0,0,0,0,0,3.935769231,0.521153846,3.391730769,0.475,66565,4753,8853,1981,2.2,9.8,9,389294.58,11584
New Jersey,Cumberland,2012,0,0,0,0,0,2,0,2,0,0,3.6575,0.717307692,2.934423077,0.684615385,46491,2185,27144,3443,2.4,18.7,11,160467.17,
New Jersey,Cumberland,2013,0,0,0,0,0,1,0,1,0,0,3.975576923,0.732692308,3.100769231,0.7,45850,2421,29231,3709,2.6,20.1,11,146743.33,-13723.84
New Jersey,Cumberland,2014,0,0,0,0,0,0,0,0,0,0,4.168867925,0.59245283,3.286037736,0.571698113,45438,2359,28287,4073,2.8,19.5,11,140719.25,-6024.08
New Jersey,Cumberland,2015,0,0,0,0,0,0,0,0,0,0,3.850576923,0.615384615,3.0875,0.576923077,50259,2354,24740,3767,2.6,17.2,11,138510,-2209.25
New Jersey,Cumberland,2016,0,0,0,0,0,1,0,1,0,0,3.654038462,0.530769231,2.930769231,0.492307692,48867,3997,26321,3627,2.5,18.4,11,137387.75,-1122.25
New Jersey,Cumberland,2017,0,0,0,0,0,1,0,1,0,0,3.989807692,0.498076923,3.2725,0.490384615,51786,3129,26129,3330,2.3,18.4,11,137949.92,562.17
New Jersey,Cumberland,2018,1,0,0,0,1,0,0,0,0,0,4.544615385,0.484615385,4.000192308,0.45,51790,4103,21430,3793,2.7,15.2,11,139535.58,1585.66
New Jersey,Cumberland,2019,0,0,0,0,0,1,0,1,0,0,3.935769231,0.521153846,3.391730769,0.475,54179,4177,19261,3288,2.4,13.8,11,137622.42,-1913.16
New Jersey,Essex,2012,81,0,4,49,28,84,14,67,3,0,3.6575,0.717307692,2.934423077,0.684615385,51019,1437,132434,8245,1.1,17.2,13,315721.75,
New Jersey,Essex,2013,16,0,0,9,7,26,8,17,1,0,3.975576923,0.732692308,3.100769231,0.7,53358,2224,136161,9209,1.2,17.7,13,318672.17,2950.42
New Jersey,Essex,2014,115,0,0,54,61,86,17,64,5,0,4.168867925,0.59245283,3.286037736,0.571698113,54603,1762,130059,9270,1.2,16.7,13,336149.75,17477.58
New Jersey,Essex,2015,91,0,1,40,50,77,15,61,1,0,3.850576923,0.615384615,3.0875,0.576923077,52206,1385,131125,8698,1.1,16.8,13,347547.17,11397.42
New Jersey,Essex,2016,95,1,0,46,48,79,19,59,1,0,3.654038462,0.530769231,2.930769231,0.492307692,54879,2928,126492,9636,1.2,16.3,13,359407.75,11860.58
New Jersey,Essex,2017,65,0,0,22,43,58,22,36,0,0,3.989807692,0.498076923,3.2725,0.490384615,60284,2008,123806,10428,1.3,15.7,13,375687.25,16279.5
New Jersey,Essex,2018,107,0,4,29,74,111,20,84,7,0,4.544615385,0.484615385,4.000192308,0.45,62875,2940,116246,10063,1.3,14.9,13,394743.33,19056.08
New Jersey,Essex,2019,131,0,9,35,87,135,5,127,3,8,3.935769231,0.521153846,3.391730769,0.475,64522,2529,107745,10052,1.3,13.8,13,411933.58,17190.25
New Jersey,Gloucester,2012,0,0,0,0,0,0,0,0,0,0,3.6575,0.717307692,2.934423077,0.684615385,72248,2781,24404,3215,1.1,8.6,15,191010.25,
New Jersey,Gloucester,2013,0,0,0,0,0,0,0,0,0,0,3.975576923,0.732692308,3.100769231,0.7,71137,2632,26775,3581,1.3,9.4,15,192531,1520.75
New Jersey,Gloucester,2014,0,0,0,0,0,0,0,0,0,0,4.168867925,0.59245283,3.286037736,0.571698113,78983,2145,23626,3661,1.3,8.2,15,194035.42,1504.42
New Jersey,Gloucester,2015,2,0,0,0,2,1,0,1,0,0,3.850576923,0.615384615,3.0875,0.576923077,76780,3193,22086,3821,1.3,7.7,15,198800.08,4764.66
New Jersey,Gloucester,2016,6,0,0,0,6,0,0,0,0,0,3.654038462,0.530769231,2.930769231,0.492307692,79332,3080,22402,3549,1.2,7.8,15,198043,-757.08
New Jersey,Gloucester,2017,1,0,0,0,1,3,0,3,0,0,3.989807692,0.498076923,3.2725,0.490384615,84639,4179,19238,3237,1.1,6.7,15,199196.58,1153.58
New Jersey,Gloucester,2018,1,0,0,0,1,1,0,1,0,0,4.544615385,0.484615385,4.000192308,0.45,81315,4282,21869,3527,1.2,7.6,15,204181.75,4985.17
New Jersey,Gloucester,2019,0,0,0,0,0,0,0,0,0,0,3.935769231,0.521153846,3.391730769,0.475,87996,4946,21602,3278,1.1,7.5,15,207696.42,3514.67
New Jersey,Hudson,2012,0,0,0,0,0,0,0,0,0,0,3.6575,0.717307692,2.934423077,0.684615385,56087,2196,107096,8697,1.4,16.6,17,318479.67,
New Jersey,Hudson,2013,0,0,0,0,0,0,0,0,0,0,3.975576923,0.732692308,3.100769231,0.7,55699,1652,126653,9611,1.5,19.4,17,338057,19577.33
New Jersey,Hudson,2014,0,0,0,0,0,0,0,0,0,0,4.168867925,0.59245283,3.286037736,0.571698113,57720,2168,117129,9481,1.4,17.7,17,364286.92,26229.92
New Jersey,Hudson,2015,0,0,0,0,0,0,0,0,0,0,3.850576923,0.615384615,3.0875,0.576923077,60053,1623,117828,9372,1.4,17.7,17,383088.58,18801.66
New Jersey,Hudson,2016,0,0,0,0,0,0,0,0,0,0,3.654038462,0.530769231,2.930769231,0.492307692,63157,1946,104660,8794,1.3,15.6,17,409631.92,26543.34
New Jersey,Hudson,2017,0,0,0,0,0,0,0,0,0,0,3.989807692,0.498076923,3.2725,0.490384615,65673,3151,96125,9139,1.3,14.1,17,439802.58,30170.66
New Jersey,Hudson,2018,0,0,0,0,0,0,0,0,0,0,4.544615385,0.484615385,4.000192308,0.45,73337,2139,95704,10273,1.5,14.3,17,469338.5,29535.92
New Jersey,Hudson,2019,0,0,0,0,0,0,0,0,0,0,3.935769231,0.521153846,3.391730769,0.475,77738,2514,90976,8368,1.3,13.7,17,479035.25,9696.75
New Jersey,Hunterdon,2012,0,0,0,0,0,0,0,0,0,0,3.6575,0.717307692,2.934423077,0.684615385,103301,6134,5664,1101,0.9,4.6,19,354244.42,
New Jersey,Hunterdon,2013,0,0,0,0,0,0,0,0,0,0,3.975576923,0.732692308,3.100769231,0.7,107203,6317,5068,1091,0.9,4.1,19,360721.42,6477
New Jersey,Hunterdon,2014,0,0,0,0,0,0,0,0,0,0,4.168867925,0.59245283,3.286037736,0.571698113,103876,5136,5742,1144,0.9,4.7,19,379196.83,18475.41
New Jersey,Hunterdon,2015,0,0,0,0,0,0,0,0,0,0,3.850576923,0.615384615,3.0875,0.576923077,102797,3980,6046,1085,0.9,5,19,380194.75,997.92
New Jersey,Hunterdon,2016,0,0,0,0,0,0,0,0,0,0,3.654038462,0.530769231,2.930769231,0.492307692,113336,5260,5431,921,0.8,4.5,19,376774.17,-3420.58
New Jersey,Hunterdon,2017,0,0,0,0,0,0,0,0,0,0,3.989807692,0.498076923,3.2725,0.490384615,113083,7030,4793,918,0.8,3.9,19,384010.58,7236.41
New Jersey,Hunterdon,2018,0,0,0,0,0,0,0,0,0,0,4.544615385,0.484615385,4.000192308,0.45,112335,5735,5317,1007,0.8,4.4,19,390068.17,6057.59
New Jersey,Hunterdon,2019,0,0,0,0,0,0,0,0,0,0,3.935769231,0.521153846,3.391730769,0.475,117275,8348,4794,1116,0.9,4,19,395401.75,5333.58
New Jersey,Mercer,2012,0,0,0,0,0,0,0,0,0,0,3.6575,0.717307692,2.934423077,0.684615385,67662,2981,36894,4449,1.3,10.5,21,223372.92,
