county_name,district_code,district_name,general_tax_rate,effective_tax_rate
ATLANTIC,0101,ABSECON CITY,3.302,3.13715492699496
ATLANTIC,0102,ATLANTIC CITY CITY,3.9339999999999997,3.609662470403083
ATLANTIC,0103,BRIGANTINE CITY,1.688,1.6473425362861924
ATLANTIC,0104,BUENA BORO,3.1599999999999997,3.4525590707787734
ATLANTIC,0105,BUENA VISTA TWP,2.6069999999999998,2.823359706814963
ATLANTIC,0106,CORBIN CITY CITY,1.9,1.882331511108616
ATLANTIC,0107,EGG HARBOR CITY,5.281000000000001,4.866613178551451
ATLANTIC,0108,EGG HARBOR TWP,3.3009999999999997,3.0719403512023558
ATLANTIC,0109,ESTELL MANOR CITY,2.586,2.3907781016358753
ATLANTIC,0110,FOLSOM BORO,2.0869999999999997,2.0680792800072374
ATLANTIC,0111,GALLOWAY TWP,3.097,2.928403887883485
ATLANTIC,0112,HAMILTON TWP,3.219,2.9176342653817198
ATLANTIC,0113,HAMMONTON TOWN,2.719,2.539250770142185
ATLANTIC,0114,LINWOOD CITY,3.556,3.632041577583487
ATLANTIC,0115,LONGPORT BORO,0.986,0.9135119701052675
ATLANTIC,0116,MARGATE CITY CITY,1.5479999999999998,1.3500728765381653
ATLANTIC,0117,MULLICA TWP,3.191,3.0499708811535386
ATLANTIC,0118,NORTHFIELD CITY,3.468,3.413607246109455
ATLANTIC,0119,PLEASANTVILLE CITY,4.773000000000001,4.855418774984694
ATLANTIC,0120,PORT REPUBLIC CITY,2.774,2.4416871876185
ATLANTIC,0121,SOMERS POINT CITY,3.2239999999999998,3.198215402158486
ATLANTIC,0122,VENTNOR CITY,2.5909999999999997,2.46735772396811
ATLANTIC,0123,WEYMOUTH TWP,2.572,2.289795260400126
BERGEN,0201,ALLENDALE BORO,2.413,2.275368400662112
BERGEN,0202,ALPINE BORO,0.759,0.7734509909486341
BERGEN,0203,BERGENFIELD BORO,3.3,2.7640300692701483
BERGEN,0204,BOGOTA BORO,4.073,3.1934288799437938
BERGEN,0205,CARLSTADT BORO,1.775,1.8300189327438352
BERGEN,0206,CLIFFSIDE PARK BORO,2.488,2.04194700169511
BERGEN,0207,CLOSTER BORO,2.241,2.218046996560213
BERGEN,0208,CRESSKILL BORO,2.432,2.3304365044030853
BERGEN,0209,DEMAREST BORO,2.7039999999999997,2.2079883661932214
BERGEN,0210,DUMONT BORO,3.759,2.9567797984988387
BERGEN,0211,ELMWOOD PARK BORO,3.002,2.665832255165993
BERGEN,0212,E RUTHERFORD BORO,1.819,1.7520273697782807
BERGEN,0213,EDGEWATER BORO,1.9449999999999998,1.4125068284238642
BERGEN,0214,EMERSON BORO,2.911,2.626705281262871
BERGEN,0215,ENGLEWOOD CITY,2.815,2.422078977033499
BERGEN,0216,ENGLEWOOD CLIFFS BORO,1.1509999999999998,1.0288547554844618
BERGEN,0217,FAIRLAWN BORO,3.4299999999999997,2.767811454637061
BERGEN,0218,FAIRVIEW BORO,2.5869999999999997,2.5476729246874545
BERGEN,0219,FORT LEE BORO,2.409,2.170159216025101
BERGEN,0220,FRANKLIN LAKES BORO,1.648,1.6082056532986544
BERGEN,0221,GARFIELD CITY,2.9619999999999997,2.351308657232613
BERGEN,0222,GLEN ROCK BORO,3.049,2.6918872440526895
BERGEN,0223,HACKENSACK CITY,3.3089999999999997,3.224012802303572
BERGEN,0224,HARRINGTON PARK BORO,2.947,2.606561330602572
BERGEN,0225,HASBROUCK HGHTS BORO,2.876,2.781732637054334
BERGEN,0226,HAWORTH BORO,2.919,2.5126649893775754
BERGEN,0227,HILLSDALE BORO,2.907,2.6328871849110818
BERGEN,0228,HOHOKUS BORO,2.1999999999999997,1.9666855833655337
BERGEN,0229,LEONIA BORO,3.09,2.544623981115465
BERGEN,0230,LITTLE FERRY BORO,3.2439999999999998,3.113264477514057
BERGEN,0231,LODI BORO,3.2849999999999997,2.4319886935089023
BERGEN,0232,LYNDHURST TWP,2.9739999999999998,2.551248631881531
BERGEN,0233,MAHWAH TWP,1.904,1.7267293491469888
BERGEN,0234,MAYWOOD BORO,3.1599999999999997,2.4318305004486507
BERGEN,0235,MIDLAND PARK BORO,3.118,2.5873881173199176
BERGEN,0236,MONTVALE BORO,2.431,2.0823423374136825
BERGEN,0237,MOONACHIE BORO,2.307,2.1943916409446764
BERGEN,0238,NEW MILFORD BORO,3.605,2.88304732182661
BERGEN,0239,NORTH ARLINGTON BORO,2.754,2.815905061860225
BERGEN,0240,NORTHVALE BORO,3.032,2.5898683312716915
BERGEN,0241,NORWOOD BORO,2.517,2.3322669999849825
BERGEN,0242,OAKLAND BORO,2.999,2.4776314555852457
BERGEN,0243,OLD TAPPAN BORO,2.092,2.071874872723217
BERGEN,0244,ORADELL BORO,2.763,2.6852278393558016
BERGEN,0245,PALISADES PARK BORO,1.543,1.5650097543933639
BERGEN,0246,PARAMUS BORO,1.595,1.5473999578219737
BERGEN,0247,PARK RIDGE BORO,2.9259999999999997,2.495746923838344
BERGEN,0248,RAMSEY BORO,2.57,2.4216959904038737
BERGEN,0249,RIDGEFIELD BORO,2.538,2.0008976151139275
BERGEN,0250,RIDGEFIELD PARK VILLAGE,3.2479999999999998,3.1356408961257736
BERGEN,0251,RIDGEWOOD VILLAGE,2.637,2.275995044467477
BERGEN,0252,RIVEREDGE BORO,3.57,2.7099134254978074
BERGEN,0253,RIVERVALE TWP,2.613,2.5591208660186107
BERGEN,0254,ROCHELLE PARK TWP,2.584,2.339570053131049
BERGEN,0255,ROCKLEIGH BORO,0.871,0.8618853833407655
BERGEN,0256,RUTHERFORD BORO,2.851,2.504408849856502
BERGEN,0257,SADDLE BROOK TWP,2.5749999999999997,2.4693573259375734
BERGEN,0258,SADDLE RIVER BORO,0.959,0.9772732527535508
BERGEN,0259,SO HACKENSACK TWP,2.6839999999999997,2.773183316755244
BERGEN,0260,TEANECK TWP,3.234,2.654819603428018
BERGEN,0261,TENAFLY BORO,2.618,2.210014310064384
BERGEN,0262,TETERBORO BORO,1.097,1.0668391223470077
BERGEN,0263,UPPER SADDLE RIV BORO,2.4339999999999997,2.004590516375746
BERGEN,0264,WALDWICK BORO,2.767,2.610822685741749
BERGEN,0265,WALLINGTON BORO,3.085,2.556617051867156
BERGEN,0266,WASHINGTON TWP,2.485,2.205062629338274
BERGEN,0267,WESTWOOD BORO,2.534,2.466062466956032
BERGEN,0268,WOODCLIFF LAKE BORO,2.101,2.1347041660440333
BERGEN,0269,WOOD RIDGE BORO,2.816,2.4379501796837624
BERGEN,0270,WYCKOFF TWP,1.835,1.8301148468885309
BURLINGTON,0301,BASS RIVER TWP,2.246,2.196415173189276
BURLINGTON,0302,BEVERLY CITY,4.638,4.426137026236853
BURLINGTON,0303,BORDENTOWN CITY,3.476,3.1568878770243303
BURLINGTON,0304,BORDENTOWN TWP,3.298,2.443023013196639
BURLINGTON,0305,BURLINGTON CITY,3.9979999999999998,3.6640647692895616
BURLINGTON,0306,BURLINGTON TWP,2.9059999999999997,2.4942027552703885
BURLINGTON,0307,CHESTERFIELD TWP,2.94,2.8122026799030464
BURLINGTON,0308,CINNAMINSON TWP,3.367,2.9782646554809276
BURLINGTON,0309,DELANCO TWP,3.264,3.0092047273247386
BURLINGTON,0310,DELRAN TWP,3.7239999999999998,3.2202282184975126
BURLINGTON,0311,EASTAMPTON TWP,3.126,2.788763707630774
BURLINGTON,0312,EDGEWATER PARK TWP,3.182,3.2337430288285183
BURLINGTON,0313,EVESHAM TWP,2.7929999999999997,2.6085754457114243
BURLINGTON,0314,FIELDSBORO BORO,2.884,2.5789245197022805
BURLINGTON,0315,FLORENCE TWP,2.396,2.331325742568479
BURLINGTON,0316,HAINESPORT TWP,2.48,2.231628289846479
BURLINGTON,0317,LUMBERTON TWP,2.417,2.3626587667778978
BURLINGTON,0318,MANSFIELD TWP,3.334,2.6925955905709986
BURLINGTON,0319,MAPLE SHADE TWP,3.604,3.3467698589057093
BURLINGTON,0320,MEDFORD TWP,3.2119999999999997,2.8737823596387444
BURLINGTON,0321,MEDFORD LAKES BORO,3.33,3.0264412871618074
BURLINGTON,0322,MOORESTOWN TWP,2.6069999999999998,2.080990292249418
BURLINGTON,0323,MT HOLLY TWP,2.965,2.9091241764025386
BURLINGTON,0324,MT LAUREL TWP,2.7319999999999998,2.4716297284517386
BURLINGTON,0325,NEW HANOVER TWP,2.497,1.7864616092940138
BURLINGTON,0326,NO HANOVER TWP,2.243,2.14606592815533
BURLINGTON,0327,PALMYRA BORO,4.005,3.740133069703245
BURLINGTON,0328,PEMBERTON BORO,2.223,2.0250524310968805
BURLINGTON,0329,PEMBERTON TWP,2.457,2.3911959080766656
BURLINGTON,0330,RIVERSIDE TWP,3.698,3.648998704809451
BURLINGTON,0331,RIVERTON BORO,3.653,3.063489441809337
BURLINGTON,0332,SHAMONG TWP,2.806,2.5929023020712907
BURLINGTON,0333,SOUTHAMPTON TWP,2.932,2.409925889667042
BURLINGTON,0334,SPRINGFIELD TWP,2.983,2.5843172766006437
BURLINGTON,0335,TABERNACLE TWP,3.033,2.717469234619529
BURLINGTON,0336,WASHINGTON TWP,1.2719999999999998,1.1796407251709142
BURLINGTON,0337,WESTAMPTON TWP,2.463,2.334030315640082
BURLINGTON,0338,WILLINGBORO TWP,4.013,3.9355484413645136
BURLINGTON,0339,WOODLAND TWP,2.533,2.7017860119908885
BURLINGTON,0340,WRIGHTSTOWN BORO,2.943,2.595529013729809
CAMDEN,0401,AUDUBON BORO,3.606,3.4849917272838224
CAMDEN,0402,AUDUBON PARK BORO,6.319,6.26905997187838
CAMDEN,0403,BARRINGTON BORO,4.4,4.183279433684917
CAMDEN,0404,BELLMAWR BORO,3.844,3.885264271658073
CAMDEN,0405,BERLIN BORO,3.29,3.305519840864948
CAMDEN,0406,BERLIN TWP,3.681,3.3829899794846976
CAMDEN,0407,BROOKLAWN BORO,4.045,3.8712017457605494
CAMDEN,0408,CAMDEN CITY,3.1799999999999997,2.871462528182583
CAMDEN,0409,CHERRY HILL TWNSHP,3.7529999999999997,3.3544287360379834
CAMDEN,0410,CHESILHURST BORO,3.477,3.641260977682337
CAMDEN,0411,CLEMENTON BORO,4.299,4.154729420580805
CAMDEN,0412,COLLINGSWOOD BORO,3.586,3.4937519654543197
CAMDEN,0413,GIBBSBORO BORO,4.010000000000001,3.5079310768990832
CAMDEN,0414,GLOUCESTER CITY,4.498,4.258646272529979
CAMDEN,0415,GLOUCESTER TWP,3.8899999999999997,3.7362147593602977
CAMDEN,0416,HADDON TWP,3.792,3.3299038718152505
CAMDEN,0417,HADDONFIELD BORO,3.125,2.9593803393699742
CAMDEN,0418,HADDON HEIGHTS BORO,3.33,3.2990138033993333
CAMDEN,0419,HI NELLA BORO,5.228000000000001,5.272838940651018
CAMDEN,0420,LAUREL SPRINGS BORO,5.194,4.83406562468917
CAMDEN,0421,LAWNSIDE BORO,4.236000000000001,4.060008149335988
CAMDEN,0422,LINDENWOLD BORO,4.878,4.8634468202697585
CAMDEN,0423,MAGNOLIA BORO,4.432,4.182042221924167
CAMDEN,0424,MERCHANTVILLE BORO,4.731000000000001,4.501184502295223
CAMDEN,0425,MOUNT EPHRAIM BORO,4.745,4.580966523236326
CAMDEN,0426,OAKLYN BORO,4.671,4.139166618422704
CAMDEN,0427,PENNSAUKEN TWP,3.55,3.403741322522355
CAMDEN,0428,PINE HILL BORO,5.003,4.7516821066210655
CAMDEN,0429,PINE VALLEY BORO,2.135,2.1320398659598636
CAMDEN,0430,RUNNEMEDE BORO,4.089,3.8560671768801846
CAMDEN,0431,SOMERDALE BORO,4.28,3.833347072284885
CAMDEN,0432,STRATFORD BORO,4.4270000000000005,4.066235495241178
CAMDEN,0433,TAVISTOCK BORO,1.7639999999999998,1.7533715835887254
CAMDEN,0434,VOORHEES TWP,4.090000000000001,3.440717952121171
CAMDEN,0435,WATERFORD TWP,4.066000000000001,3.6718821320239994
CAMDEN,0436,WINSLOW TWP,3.4379999999999997,3.2894336877970636
CAMDEN,0437,WOODLYNNE BORO,7.824000000000001,6.949689565358389
CAPE MAY,0501,AVALON BORO,0.526,0.4888536597110958
CAPE MAY,0502,CAPE MAY CITY,0.97,0.8941380879590369
CAPE MAY,0503,CAPE MAY POINT BORO,0.622,0.5584597354216945
CAPE MAY,0504,DENNIS TWP,1.7449999999999999,1.6741044544407644
CAPE MAY,0505,LOWER TWP,1.783,1.545061034022507
CAPE MAY,0506,MIDDLE TWP,1.8229999999999997,1.791241933823172
CAPE MAY,0507,NORTH WILDWOOD CITY,1.3509999999999998,1.2569818262157557
CAPE MAY,0508,OCEAN CITY CITY,0.978,0.8807295967140636
CAPE MAY,0509,SEA ISLE CITY CITY,0.734,0.6363472052755668
CAPE MAY,0510,STONE HARBOR BORO,0.61,0.576094186427025
CAPE MAY,0511,UPPER TWP,1.8559999999999999,1.7554289783298533
CAPE MAY,0512,WEST CAPE MAY BORO,1.319,1.138792422862438
CAPE MAY,0513,WEST WILDWOOD BORO,1.7919999999999998,1.5827678212871614
CAPE MAY,0514,WILDWOOD CITY,2.6899999999999995,2.517277628692388
CAPE MAY,0515,WILDWOOD CREST BORO,1.289,1.2908845837948226
CAPE MAY,0516,WOODBINE BORO,1.632,1.8581550715931014
CUMBERLAND,0601,BRIDGETON CITY,4.984000000000001,4.394913301426652
CUMBERLAND,0602,COMMERCIAL TWP,2.4599999999999995,2.788033297688471
CUMBERLAND,0603,DEERFIELD TWP,3.731,3.5151818257863545
CUMBERLAND,0604,DOWNE TWP,2.222,2.7430913131904964
CUMBERLAND,0605,FAIRFIELD TWP,2.6049999999999995,2.8480009165044735
CUMBERLAND,0606,GREENWICH TWP,3.588,3.6786183463510422
CUMBERLAND,0607,HOPEWELL TWP,3.402,3.1127262996812974
CUMBERLAND,0608,LAWRENCE TWP,2.885,2.942417870021232
CUMBERLAND,0609,MAURICE RIVER TWP,2.7,2.821084468721394
CUMBERLAND,0610,MILLVILLE CITY,3.6069999999999998,3.317477014839093
CUMBERLAND,0611,SHILOH BORO,3.0919999999999996,3.0499347442500406
CUMBERLAND,0612,STOW CREEK TWP,3.2259999999999995,3.0263160683709733
CUMBERLAND,0613,UPPER DEERFIELD TWP,3.2209999999999996,3.2817858446587653
CUMBERLAND,0614,VINELAND CITY,2.927,2.7967633428039673
ESSEX,0701,BELLEVILLE TWP,3.743,3.6750843482233835
ESSEX,0702,BLOOMFIELD TWP,3.0949999999999998,3.2374592186506277
ESSEX,0703,CALDWELL BORO TWP,2.803,2.5010217227922804
ESSEX,0704,CEDAR GROVE TWP,2.424,2.26608156727975
ESSEX,0705,EAST ORANGE CITY,5.470000000000001,4.132232578744379
ESSEX,0706,ESSEX FELLS TWP,2.038,2.024442634595361
ESSEX,0707,FAIRFIELD TWP,1.9329999999999998,1.872250648371621
ESSEX,0708,GLEN RIDGE TWP,3.187,2.917814256066838
ESSEX,0709,IRVINGTON TWP,5.976,5.2027070423619906
ESSEX,0710,LIVINGSTON TWP,2.271,2.3024748041762666
ESSEX,0711,MAPLEWOOD TWP,3.322,2.9565830198955014
ESSEX,0712,MILLBURN TWP,1.926,1.8777239084181738
ESSEX,0713,MONTCLAIR TWP,3.179,2.8408494486592053
ESSEX,0714,NEWARK CITY,3.8,3.0668286251905754
ESSEX,0715,NORTH CALDWELL TWP,2.375,2.1106353176691153
ESSEX,0716,NUTLEY TWP,3.682,3.039519728443003
ESSEX,0717,ORANGE CITY TWP,5.607,5.068852522381228
ESSEX,0718,ROSELAND BORO,2.295,2.143197491149021
ESSEX,0719,SOUTH ORANGE VILLAGE TW,3.28,2.971304742759417
ESSEX,0720,VERONA TWP,2.864,2.6890272870448353
ESSEX,0721,WEST CALDWELL TWP,2.612,2.3570663327416645
ESSEX,0722,WEST ORANGE TWP,4.284000000000001,3.6674849239690777
GLOUCESTER,0801,CLAYTON BORO,3.957,3.7860782362025143
GLOUCESTER,0802,DEPTFORD TWP,3.185,3.116423891678332
GLOUCESTER,0803,EAST GREENWICH TWP,3.025,2.975563066034206
GLOUCESTER,0804,ELK TWP,3.681,3.492981468720222
GLOUCESTER,0805,FRANKLIN TWP,3.38,3.1205905631256723
GLOUCESTER,0806,GLASSBORO BORO,3.5429999999999997,3.2931278766400602
GLOUCESTER,0807,GREENWICH TWP,3.275,2.9408917430777906
GLOUCESTER,0808,HARRISON TWP,2.991,2.90293801535635
GLOUCESTER,0809,LOGAN TWP,2.175,2.116209021739612
GLOUCESTER,0810,MANTUA TWP,3.399,3.136258154547901
GLOUCESTER,0811,MONROE TWP,3.637,3.6374845312008084
GLOUCESTER,0812,NATIONAL PARK BORO,4.5,4.332468377231473
GLOUCESTER,0813,NEWFIELD BORO,3.722,3.608371275051545
GLOUCESTER,0814,PAULSBORO BORO,4.206,4.208832968652486
GLOUCESTER,0815,PITMAN BORO,4.430000000000001,4.040632212651711
GLOUCESTER,0816,SO HARRISON TWP,2.913,2.762951789109985
GLOUCESTER,0817,SWEDESBORO BORO,4.0600000000000005,3.833811231573636
GLOUCESTER,0818,WASHINGTON TWP,3.242,3.1416073841154053
GLOUCESTER,0819,WENONAH BORO,4.213,4.158652084371482
GLOUCESTER,0820,WEST DEPTFORD TWP,3.411,3.1196375682674407
GLOUCESTER,0821,WESTVILLE BORO,4.662,4.524661197913035
GLOUCESTER,0822,WOODBURY CITY,4.938000000000001,4.454762349919368
GLOUCESTER,0823,WOODBURY HEIGHTS BORO,4.593,4.259588249846875
GLOUCESTER,0824,WOOLWICH TWP,3.431,3.423397073633024
HUDSON,0901,BAYONNE CITY,2.566,2.6048056769519143
HUDSON,0902,EAST NEWARK BORO,2.6069999999999998,1.9607747956776154
HUDSON,0903,GUTTENBERG TOWN,3.8609999999999998,2.54853269233692
HUDSON,0904,HARRISON TOWN,2.28,2.2607829273526767
HUDSON,0905,HOBOKEN CITY,1.611,1.0648637314391896
HUDSON,0906,JERSEY CITY CITY,1.6099999999999999,1.4010353864270668
HUDSON,0907,KEARNY TOWN,10.49,2.62229462535959
HUDSON,0908,NORTH BERGEN TWP,5.732,2.209497899891906
HUDSON,0909,SECAUCUS TOWN,3.7359999999999998,1.8981318003861194
HUDSON,0910,UNION CITY CITY,7.301,2.4994323429401994
HUDSON,0911,WEEHAWKEN TWP,1.7369999999999999,1.7440899300510742
HUDSON,0912,WEST NEW YORK TOWN,7.635000000000001,2.078431392387615
HUNTERDON,1001,ALEXANDRIA TWP,2.667,2.428610798036827
HUNTERDON,1002,BETHLEHEM TWP,2.995,2.7769958163758544
HUNTERDON,1003,BLOOMSBURY BORO,3.134,2.899028699643673
HUNTERDON,1004,CALIFON BORO,3.505,3.3884008594298005
HUNTERDON,1005,CLINTON TOWN,3.233,3.058133070313961
HUNTERDON,1006,CLINTON TWP,2.695,2.5169983702359047
HUNTERDON,1007,DELAWARE TWP,2.5829999999999997,2.358900407485431
HUNTERDON,1008,EAST AMWELL TWP,2.499,2.1892647312079276
HUNTERDON,1009,FLEMINGTON BORO,3.178,3.132962794541176
HUNTERDON,1010,FRANKLIN TWP,2.666,2.5647504687875258
HUNTERDON,1011,FRENCHTOWN BORO,3.5789999999999997,3.1080842828844935
HUNTERDON,1012,GLEN GARDNER BORO,3.4339999999999997,2.824906439053773
HUNTERDON,1013,HAMPTON BORO,3.84,3.673822384915221
HUNTERDON,1014,HIGH BRIDGE BORO,4.1000000000000005,3.831253704632581
HUNTERDON,1015,HOLLAND TWP,2.8649999999999998,2.593748892819754
HUNTERDON,1016,KINGWOOD TWP,2.355,2.3169620592764644
HUNTERDON,1017,LAMBERTVILLE CITY,2.072,2.024576254472376
HUNTERDON,1018,LEBANON BORO,2.5,2.4600579713271387
HUNTERDON,1019,LEBANON TWP,2.381,2.390961359529538
HUNTERDON,1020,MILFORD BORO,3.524,3.198709479914452
HUNTERDON,1021,RARITAN TWP,2.5709999999999997,2.464293213389058
HUNTERDON,1022,READINGTON TWP,3.041,2.4495334397821455
